#------------------------------------------------------------------
# HARP 2007 data for Ta
#θ min θ max p min p max d^2\sig(pi-) / (dpdθ)
# (rad) (rad) (GeV/c) (GeV/c) [b/(rad GeV/c)]
#------------------------------------------------------------------
#                    3 GeV/c     5 GeV/c    8 GeV/c  12 GeV/c
#------------------------------------------------------------------
# tmin tmax pmin pmax  x3    ex3    x5    ex5   x8    ex8   x12  ex12
1.55   1.75 0.40 0.45 0.05  0.01  0.14  0.01  0.21  0.01  0.30  0.02
1.55   1.75 0.45 0.50 0.04  0.01  0.10  0.01  0.15  0.01  0.21  0.02

1.75   1.95 0.10 0.15 0.79  0.11  1.28  0.20  1.54  0.23  2.07  0.31
1.75   1.95 0.15 0.20 0.48  0.05  0.95  0.06  1.27  0.08  1.58  0.11
1.75   1.95 0.20 0.25 0.25  0.03  0.53  0.04  0.81  0.05  0.99  0.07
1.75   1.95 0.25 0.30 0.14  0.02  0.32  0.03  0.51  0.04  0.58  0.04
1.75   1.95 0.30 0.35 0.11  0.02  0.22  0.02  0.28  0.03  0.41  0.03
1.75   1.95 0.35 0.40 0.08  0.01  0.14  0.02  0.21  0.01  0.26  0.02
1.75   1.95 0.40 0.45 0.05  0.01  0.09  0.01  0.18  0.01  0.20  0.02
1.75   1.95 0.45 0.50 0.03  0.01  0.06  0.01  0.12  0.01  0.12  0.01

1.95   2.15 0.10 0.15 0.59  0.11  1.12  0.16  1.43  0.17  1.43  0.17
1.95   2.15 0.15 0.20 0.50  0.05  0.80  0.06  0.99  0.05  0.99  0.05
1.95   2.15 0.20 0.25 0.21  0.03  0.39  0.03  0.57  0.03  0.57  0.03
1.95   2.15 0.25 0.30 0.09  0.02  0.23  0.02  0.36  0.03  0.36  0.03
1.95   2.15 0.30 0.35 0.04  0.01  0.14  0.02  0.19  0.02  0.19  0.02
1.95   2.15 0.35 0.40 0.03  0.01  0.09  0.01  0.15  0.01  0.15  0.01
1.95   2.15 0.40 0.45 0.02  0.01  0.05  0.01  0.11  0.01  0.11  0.01
1.95   2.15 0.45 0.50 0.02  0.01  0.03  0.01  0.07  0.01  0.07  0.01
