#
10302.1,98.9426,
#
0.185294,19289.4, 0.185294,13873.9, 0.185294,25161.6,
0.410294,14022.1, 0.410294,10085.4, 0.397059,18683.9,
0.604412,6805.68, 0.604412,5162.20, 0.613235,8972.40,
0.785294,3915.60, 0.785294,2846.39, 0.785294,5162.20,
0.979412,3199.47, 0.988235,2505.49, 0.983824,4218.09,
1.17794,2228.98,  1.17794,1655.15,  1.17794,2938.62,
1.35882,1396.26,  1.36324,1014.99,  1.36324,1941.28,
1.55294,1004.26,  1.55294,642.600,  1.54412,1352.44,
1.73382,707.118,  1.73382,482.267,  1.72500,972.739,
1.91912,642.600,  1.92353,406.835,  1.91029,932.243,
2.13971,315.221,  2.13971,185.257,  2.14412,472.121,
2.34706,152.993,  2.35147,94.8235,  2.35147,219.606,
2.55441,143.539,  2.55441,85.2605,  2.55441,210.463,
2.72206,84.3589,  2.72647,29.7635,  2.73529,136.109,
2.93824,78.3093,  2.92941,27.0479,  2.93382,143.539,
