#
10302.1,98.9426,
#
0.198529,30145.6, 0.185294,23606.8, 0.198529,37287.3,
0.427941,20342.4, 0.405882,17716.8, 0.423529,24895.6,
0.617647,19289.4, 0.613235,16622,   0.613235,22624.1,
0.820588,13727.2, 0.816176,11955.4, 0.811765,16622,
1.00588,9068.29,  1.01029,7731.67,  0.997059,11098.0,
1.18235,6250.82,  1.18676,5329.48,  1.16912,7331.44,
1.35882,4741.33,  1.35441,4042.48,  1.36324,5620.42,
1.55735,3132.17,  1.55294,2670.50,  1.54853,3712.90,
1.74706,1840.79,  1.73824,1552.87,  1.73824,2182.09,
1.94118,1216.04,  1.93235,1059.08,  1.93676,1456.92,
2.15735,1190.46,  2.15735,707.118,  2.15294,1745.50,
2.32941,761.745,  2.33824,411.183,  2.33824,1105.09,
2.56765,803.330,  2.56765,457.302,  2.56765,1165.42,
2.74412,369.715,  2.73088,195.370,  2.72647,571.684,
2.94265,381.696,  2.93824,170.153,  2.92500,692.243,
