     0.049    167.753     31.350
     0.216     85.092     15.763
     0.375     39.937      6.541
     0.530     18.169      2.880
     0.745      4.999      0.926
     0.815      1.878      0.561
     0.944      1.987      0.892
     1.111      0.545      0.318
     1.253      0.358      0.176
     1.412      0.168      0.135
