"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 4/5/22, 10:08:10 AM"


47
X,Y
0.0440529,1.15555e+06,
0.0220264,98.9426,
0.189427,278059,
0.185022,204291,
0.202643,416462,
0.422908,191668,
0.409692,143845,
0.414097,250016,
0.607930,78476,
0.612335,54672.1,
0.616740,105684,
0.801762,66909.0,
0.810573,45633.1,
0.806167,93026.3,
0.973568,49158.4,
0.969163,34613.3,
0.977974,67624.1,
1.19824,35735.0,
1.18502,26254.6,
1.19824,49158.4,
1.36123,24114.1,
1.35242,16979.2,
1.35683,32474.5,
1.55066,19085.4,
1.54626,12083.1,
1.55947,27395.1,
1.74449,17344.0,
1.74009,10523.5,
1.74449,25702.3,
1.94714,8328.96,
1.94714,5217.37,
1.94714,12474.7,
2.16300,5107.61,
2.15419,2846.39,
2.14978,7569.02,
2.36123,3833.22,
2.35683,2325.81,
2.36123,5741.20,
2.54626,4592.51,
2.55947,2586.68,
2.55507,6878.42,
2.74890,2478.99,
2.74009,1014.99,
2.73568,4495.90,
2.92952,912.632,
2.92070,492.630,
2.92511,1586.24,
