"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 4/5/22, 10:10:20 AM"


47
X,Y
0.0440529,1.16790e+06,
0.0220264,97.8963,
0.176211,488458,
0.176211,429958,
0.180617,560849,
0.440529,281031,
0.422908,244757,
0.431718,333137,
0.612335,239608,
0.612335,204291,
0.607930,281031,
0.814978,159979,
0.814978,137857,
0.797357,189641,
0.995595,123954,
1,109108,
0.991189,142324,
1.20705,106813,
1.19824,95025.3,
1.22467,127971,
1.38326,112644,
1.38326,100213,
1.37885,134957,
1.55507,85442.0,
1.55947,74413.7,
1.54626,101284,
1.73568,45150.5,
1.72687,30145.6,
1.73568,64123.5,
1.95154,41912.7,
1.94273,31122.5,
1.93833,61454.0,
2.14978,39322.8,
2.15419,26818.8,
2.14978,56443.8,
2.36123,29511.5,
2.35683,18683.9,
2.36123,45150.5,
2.56388,24632.3,
2.56388,17529.4,
2.55947,34613.3,
2.74449,18290.9,
2.74009,8690.77,
2.74890,26254.6,
2.93833,13016.6,
2.92952,6119.33,
2.94714,20779.6,
