# -*- coding: utf-8 -*-
#------------------------------------------------------------------
# data from preprint JINR P1-91-191 (mu2e-docdb-541) Carbon
# (E/A) d^3sigma/dp^3 = (E/A) (1/2pi) d^2sigma/p^2dpd
#
# (rad) (rad) (GeV/c) (GeV/c) [b/(rad GeV/c)]
#------------------------------------------------------------------
#                            10 GeV/c 
#------------------------------------------------------------------
# th_min th_max       ekin     p        x           ex   pmin  pmax  ekmin ekmax
#------------------------------------------------------------------------------
   1.05    1.22       0.231   0.344   43.905     12.308  0.20  0.40   0.1   0.3
   1.05    1.22       0.374   0.495   13.171      3.402  0.40  0.60   0.3   0.5
   1.05    1.22       0.549   0.675    9.378      1.824  0.60  0.75   0.5   0.6
   1.05    1.22       0.679   0.807    4.459      1.301  0.75  0.90   0.6   0.8
   1.05    1.22       0.886   1.016    0.342      0.207  0.90  1.10   0.8   1.0
   1.05    1.22       1.101   1.233    0.312      0.208  1.10  1.30   1.0   1.2
#------------------------------------------------------------------------------
   1.22    1.40       0.068   0.154  224.333     30.112  0.00  0.20   0.0   0.1
   1.22    1.40       0.248   0.362   24.824      4.005  0.20  0.40   0.1   0.3        
   1.22    1.40       0.395   0.516    8.297      2.647  0.40  0.60   0.3   0.5       
   1.22    1.40       0.567   0.693    2.613      1.180  0.60  0.80   0.5   0.7
   1.22    1.40       0.711   0.839    0.704      0.507  0.80  1.00   0.7   0.9
#------------------------------------------------------------------------------
   1.40    1.57       0.028   0.093 168.541     40.182   0.0   0.20   0.0   0.1
   1.40    1.57       0.124   0.224  71.417     17.845   0.20  0.30   0.1   0.2       
   1.40    1.57       0.224   0.336  21.012      7.609   0.30  0.40   0.2   0.3       
   1.40    1.57       0.338   0.457   3.804      2.765   0.40  0.50   0.3   0.4       
   1.40    1.57       0.440   0.563   9.002      8.272   0.50  0.60   0.4   0.5
   1.40    1.57       0.544   0.670   2.418      1.404   0.60  0.70   0.5   0.6
#------------------------------------------------------------------------------
   1.57    1.92       0.027   0.091 151.430     27.896   0.00  0.20   0.0   0.1
   1.57    1.92       0.142   0.245  50.389     12.861	 0.20  0.30   0.1   0.2
   1.57    1.92       0.242   0.355   7.823      2.947	 0.30  0.40   0.2   0.3
   1.57    1.92       0.348   0.467   5.567      2.075	 0.40  0.50   0.3   0.4
   1.57    1.92       0.453   0.576   0.548      0.215	 0.50  0.60   0.4   0.5
   1.57    1.92       0.551   0.677   0.674      0.441	 0.60  0.70   0.5   0.6
#------------------------------------------------------------------------------
   1.92    2.27       0.036   0.107 128.134     28.795   0.00  0.20   0.0   0.1
   1.92    2.27       0.150   0.254  27.841      8.637   0.20  0.30   0.1   0.2
   1.92    2.27       0.243   0.356  11.098      4.446   0.30  0.40   0.2   0.3
   1.92    2.27       0.332   0.451   2.334      1.942   0.40  0.50   0.3   0.4
#------------------------------------------------------------------------------
   2.27    3.14       0.045   0.121 103.613     15.107   0.00  0.20   0.0   0.1
   2.27    3.14       0.146   0.249  11.688      4.659   0.20  0.30   0.1   0.2
   2.27    3.14       0.243   0.356   3.335      1.151   0.30  0.40   0.2   0.3
   2.27    3.14       0.344   0.463   1.646      0.577   0.40  0.50   0.3   0.4
   2.27    3.14       0.446   0.569   0.312      0.164   0.50  0.60   0.4   0.5
#------------------------------------------------------------------------------
